Nicaragua,718154,42167,-675987,North America
Niger,399707,348056,-51651,Africa
Nigeria,1670455,1308568,-361887,Africa
Niue,5186,588,-4598,Oceania
North Korea,110377,49549,-60828,Asia
North Macedonia,693896,131311,-562585,Europe
Northern Mariana Islands,2741,21843,19102,Oceania
Norway,191392,852238,660846,Europe
Oman,25099,2372836,2347737,Asia
Pakistan,6328400,3276580,-3051820,Asia
Palau,2656,5088,2432,Oceania
Palestine,4022791,272784,-3750007,Asia
Panama,139520,313165,173645,North America
Papua New Guinea,4810,31068,26258,Oceania
Paraguay,896484,169567,-726917,South America
Peru,1519635,1224519,-295116,South America
Philippines,6094307,225525,-5868782,Asia
Poland,4825096,817254,-4007842,Europe
Portugal,2081419,1001963,-1079456,Europe
Puerto Rico,1850529,247132,-1603397,North America
Qatar,25705,2226192,2200487,Asia
Romania,3987093,705310,-3281783,Europe
Russia,10756697,11636911,880214,Europe
Rwanda,492489,513907,21418,Africa
Saint Kitts and Nevis,50285,7725,-42560,North America
Saint Lucia,71227,8338,-62889,North America
Saint Pierre and Miquelon,433,998,565,North America
Saint Vincent and the Grenadines,55525,4738,-50787,North America
Samoa,135732,4021,-131711,Oceania
San Marino,2407,5543,3136,Europe
Sao Tome and Principe,39608,2139,-37469,Africa
Saudi Arabia,299268,13454842,13155574,Asia
Senegal,693765,274929,-418836,Africa
Serbia,1003962,823011,-180951,Europe
Seychelles,29258,13050,-16208,Africa
Sierra Leone,152486,53746,-98740,Africa
Singapore,348464,2523648,2175184,Asia
Slovakia,419651,197161,-222490,Europe
Slovenia,160197,277964,117767,Europe
Solomon Islands,4270,2520,-1750,Oceania
Somalia,2034221,58590,-1975631,Africa
South Africa,914901,2860495,1945594,Africa
South Korea,2204554,1728182,-476372,Asia
South Sudan,2575870,882252,-1693618,Africa
Spain,1489823,6842202,5352379,Europe
Sri Lanka,1960025,40254,-1919771,Asia
Sudan,2104887,1379147,-725740,Africa
Suriname,273209,47801,-225408,South America
Sweden,327581,2003908,1676327,Europe
Switzerland,713623,2491249,1777626,Europe
Syria,8457214,868711,-7588503,Asia
Taiwan,0,0,0,Asia
Tajikistan,586851,276031,-310820,Asia
Tanzania,327863,426017,98154,Africa
Thailand,1086985,3632496,2545511,Asia
Togo,545409,279936,-265473,Africa
Tokelau,2112,1238,-874,Oceania
Tonga,74550,3742,-70808,Oceania
Trinidad and Tobago,330519,78849,-251670,North America
Tunisia,902268,60145,-842123,Africa
Turkey,3411408,6052652,2641244,Asia
Turkmenistan,242554,194920,-47634,Asia
Turks and Caicos Islands,2689,25748,23059,North America
Tuvalu,3670,239,-3431,Oceania
Uganda,781440,1720313,938873,Africa
Ukraine,6139144,4997387,-1141757,Europe
United Arab Emirates,203214,8716332,8513118,Asia
United Kingdom,4732510,9359587,4627077,Europe
United States,2996223,50632836,47636613,North America
United States Virgin Islands,3908,56753,52845,North America
Uruguay,367060,108267,-258793,South America
Uzbekistan,2027823,1162007,-865816,Asia
Vanuatu,7246,3257,-3989,Oceania
Venezuela,5415337,1324193,-4091144,South America
Vietnam,3392025,76767,-3315258,Asia
Wallis and Futuna,11917,2040,-9877,Oceania
Yemen,1301166,387113,-914053,Asia
Zambia,200700,187955,-12745,Africa
Zimbabwe,1243314,416141,-827173,Africa
